LocID,Adjacent_District
30.0,2
132.0,2
32.0,3
51.0,3
81.0,3
184.0,3
185.0,3
242.0,3
254.0,3
79.0,4
148.0,4
224.0,4
232.0,4
84.0,5
99.0,5
204.0,5
115.0,6
118.0,6
214.0,6
221.0,6
146.0,7
179.0,7
193.0,7
207.0,7
223.0,7
226.0,7
260.0,7
179.0,8
223.0,8
16.0,9
73.0,9
98.0,9
121.0,9
171.0,9
192.0,9
205.0,10
215.0,10
216.0,10
218.0,10
219.0,10
14.0,11
22.0,11
67.0,11
13.0,12
88.0,12
261.0,12
12.0,13
231.0,13
261.0,13
11.0,14
67.0,14
227.0,14
228.0,14
16.0,15
171.0,15
252.0,15
9.0,16
15.0,16
64.0,16
98.0,16
171.0,16
175.0,16
37.0,17
49.0,17
61.0,17
80.0,17
217.0,17
225.0,17
20.0,18
94.0,18
136.0,18
174.0,18
241.0,18
64.0,19
101.0,19
175.0,19
191.0,19
18.0,20
31.0,20
47.0,20
78.0,20
94.0,20
174.0,20
22.0,21
26.0,21
108.0,21
123.0,21
178.0,21
11.0,22
21.0,22
26.0,22
67.0,22
99.0,23
118.0,23
156.0,23
187.0,23
251.0,23
41.0,24
43.0,24
151.0,24
166.0,24
33.0,25
40.0,25
52.0,25
65.0,25
97.0,25
106.0,25
181.0,25
21.0,26
22.0,26
67.0,26
89.0,26
111.0,26
133.0,26
178.0,26
227.0,26
201.0,27
93.0,28
121.0,28
130.0,28
131.0,28
134.0,28
135.0,28
197.0,28
55.0,29
108.0,29
123.0,29
150.0,29
210.0,29
2.0,30
20.0,31
32.0,31
78.0,31
174.0,31
185.0,31
240.0,31
242.0,31
254.0,31
3.0,32
31.0,32
185.0,32
254.0,32
25.0,33
52.0,33
54.0,33
65.0,33
66.0,33
49.0,34
66.0,34
97.0,34
217.0,34
256.0,34
61.0,35
72.0,35
76.0,35
77.0,35
177.0,35
37.0,36
80.0,36
96.0,36
198.0,36
17.0,37
36.0,37
63.0,37
80.0,37
96.0,37
177.0,37
225.0,37
139.0,38
191.0,38
203.0,38
205.0,38
72.0,39
76.0,39
91.0,39
155.0,39
222.0,39
25.0,40
52.0,40
54.0,40
106.0,40
195.0,40
228.0,40
24.0,41
42.0,41
43.0,41
74.0,41
75.0,41
152.0,41
166.0,41
41.0,42
74.0,42
116.0,42
120.0,42
152.0,42
166.0,42
24.0,43
41.0,43
75.0,43
142.0,43
151.0,43
163.0,43
236.0,43
237.0,43
238.0,43
239.0,43
84.0,44
99.0,44
204.0,44
144.0,45
148.0,45
209.0,45
231.0,45
232.0,45
20.0,47
59.0,47
69.0,47
78.0,47
94.0,47
167.0,47
169.0,47
50.0,48
68.0,48
100.0,48
142.0,48
143.0,48
163.0,48
230.0,48
246.0,48
17.0,49
34.0,49
61.0,49
97.0,49
189.0,49
217.0,49
48.0,50
142.0,50
143.0,50
246.0,50
3.0,51
81.0,51
184.0,51
25.0,52
33.0,52
40.0,52
54.0,52
92.0,53
138.0,53
252.0,53
33.0,54
40.0,54
52.0,54
195.0,54
29.0,55
108.0,55
56.0,56
93.0,56
173.0,56
184.0,58
208.0,58
47.0,59
60.0,59
78.0,59
167.0,59
59.0,60
78.0,60
126.0,60
167.0,60
212.0,60
213.0,60
242.0,60
248.0,60
17.0,61
35.0,61
49.0,61
62.0,61
72.0,61
177.0,61
189.0,61
225.0,61
61.0,62
72.0,62
188.0,62
189.0,62
190.0,62
37.0,63
76.0,63
96.0,63
124.0,63
177.0,63
180.0,63
258.0,63
16.0,64
19.0,64
101.0,64
175.0,64
25.0,65
33.0,65
66.0,65
97.0,65
33.0,66
34.0,66
65.0,66
97.0,66
11.0,67
14.0,67
22.0,67
26.0,67
227.0,67
48.0,68
90.0,68
100.0,68
158.0,68
186.0,68
246.0,68
249.0,68
47.0,69
159.0,69
167.0,69
168.0,69
169.0,69
247.0,69
93.0,70
129.0,70
138.0,70
173.0,70
72.0,71
85.0,71
89.0,71
91.0,71
188.0,71
35.0,72
39.0,72
61.0,72
62.0,72
71.0,72
76.0,72
91.0,72
188.0,72
9.0,73
92.0,73
171.0,73
192.0,73
41.0,74
42.0,74
75.0,74
194.0,74
41.0,75
43.0,75
74.0,75
236.0,75
262.0,75
263.0,75
35.0,76
39.0,76
63.0,76
72.0,76
77.0,76
124.0,76
177.0,76
222.0,76
35.0,77
76.0,77
177.0,77
20.0,78
31.0,78
47.0,78
59.0,78
60.0,78
242.0,78
4.0,79
107.0,79
113.0,79
114.0,79
148.0,79
224.0,79
232.0,79
234.0,79
17.0,80
36.0,80
37.0,80
112.0,80
157.0,80
198.0,80
217.0,80
255.0,80
256.0,80
3.0,81
51.0,81
184.0,81
254.0,81
259.0,81
56.0,82
83.0,82
129.0,82
157.0,82
160.0,82
173.0,82
196.0,82
82.0,83
129.0,83
157.0,83
260.0,83
5.0,84
44.0,84
99.0,84
109.0,84
118.0,84
204.0,84
71.0,85
89.0,85
188.0,85
117.0,86
88.0,87
209.0,87
261.0,87
12.0,88
87.0,88
261.0,88
26.0,89
71.0,89
85.0,89
91.0,89
133.0,89
165.0,89
178.0,89
188.0,89
190.0,89
257.0,89
68.0,90
113.0,90
186.0,90
234.0,90
249.0,90
39.0,91
71.0,91
72.0,91
89.0,91
149.0,91
155.0,91
165.0,91
53.0,92
73.0,92
93.0,92
171.0,92
192.0,92
252.0,92
253.0,92
28.0,93
56.0,93
70.0,93
92.0,93
95.0,93
134.0,93
135.0,93
138.0,93
173.0,93
192.0,93
253.0,93
18.0,94
20.0,94
47.0,94
136.0,94
169.0,94
235.0,94
56.0,95
93.0,95
96.0,95
102.0,95
134.0,95
196.0,95
36.0,96
37.0,96
63.0,96
95.0,96
102.0,96
134.0,96
197.0,96
198.0,96
258.0,96
25.0,97
34.0,97
49.0,97
65.0,97
66.0,97
181.0,97
189.0,97
9.0,98
16.0,98
121.0,98
131.0,98
175.0,98
191.0,98
192.0,98
5.0,99
23.0,99
44.0,99
84.0,99
109.0,99
118.0,99
204.0,99
48.0,100
68.0,100
161.0,100
164.0,100
186.0,100
230.0,100
19.0,101
64.0,101
95.0,102
96.0,102
160.0,102
196.0,102
198.0,102
25.0,106
40.0,106
181.0,106
195.0,106
228.0,106
79.0,107
113.0,107
137.0,107
164.0,107
170.0,107
224.0,107
234.0,107
21.0,108
29.0,108
55.0,108
123.0,108
84.0,109
99.0,109
110.0,109
118.0,109
176.0,109
109.0,110
176.0,110
26.0,111
133.0,111
227.0,111
228.0,111
257.0,111
80.0,112
255.0,112
79.0,113
90.0,113
107.0,113
114.0,113
234.0,113
249.0,113
79.0,114
113.0,114
125.0,114
144.0,114
211.0,114
249.0,114
6.0,115
118.0,115
221.0,115
245.0,115
251.0,115
42.0,116
120.0,116
152.0,116
244.0,116
86.0,117
201.0,117
6.0,118
23.0,118
84.0,118
99.0,118
109.0,118
115.0,118
172.0,118
176.0,118
214.0,118
251.0,118
235.0,119
247.0,119
42.0,120
116.0,120
127.0,120
243.0,120
244.0,120
9.0,121
28.0,121
98.0,121
131.0,121
135.0,121
192.0,121
130.0,122
131.0,122
191.0,122
205.0,122
21.0,123
29.0,123
108.0,123
149.0,123
165.0,123
178.0,123
210.0,123
63.0,124
76.0,124
132.0,124
180.0,124
216.0,124
114.0,125
158.0,125
211.0,125
231.0,125
249.0,125
60.0,126
147.0,126
167.0,126
168.0,126
212.0,126
213.0,126
120.0,127
128.0,127
243.0,127
127.0,128
