Date,W/L
Thursday Mar 28,W
Saturday Mar 30,L
Sunday Mar 31,L
Monday Apr 1,W
Tuesday Apr 2,L
Wednesday Apr 3,L
Friday Apr 12,L
Saturday Apr 13,W
Sunday Apr 14,L
Tuesday Apr 16,W
Wednesday Apr 17,W
Thursday Apr 18,L
Friday Apr 19,W
Saturday Apr 20,W
Sunday Apr 21,W
Friday May 3,W
Saturday May 4,L
Sunday May 5,W
Monday May 6,W
Tuesday May 7,W
Wednesday May 8,L
Thursday May 9,W
Wednesday May 15,W
Wednesday May 15,W
Friday May 17,W
Saturday May 18,L
Sunday May 19,W
Monday May 27,W
Tuesday May 28,L
Wednesday May 29,W
Friday May 31,W
Saturday Jun 1,W
Sunday Jun 2,L
Tuesday Jun 11,W
Tuesday Jun 11,L
Monday Jun 17,W
Tuesday Jun 18,W
Wednesday Jun 19,W
Thursday Jun 20,W
Friday Jun 21,W
Saturday Jun 22,W
Sunday Jun 23,L
Monday Jun 24,W
Tuesday Jun 25,W
Wednesday Jun 26,W
Friday Jul 12,W
Saturday Jul 13,L
Sunday Jul 14,W
Monday Jul 15,L
Tuesday Jul 16,W
Thursday Jul 18,W
Thursday Jul 18,W
Friday Jul 19,W
Saturday Jul 20,W
Sunday Jul 21,L
Tuesday Jul 30,L
Wednesday Jul 31,W
Friday Aug 2,W
Saturday Aug 3,W
Saturday Aug 3,W
Sunday Aug 4,W
Monday Aug 12,W
Monday Aug 12,W
Tuesday Aug 13,W
Wednesday Aug 14,W
Thursday Aug 15,L
Friday Aug 16,W
Saturday Aug 17,W
Sunday Aug 18,L
Friday Aug 30,L
Saturday Aug 31,W
Sunday Sep 1,W
Monday Sep 2,L
Tuesday Sep 3,W
Wednesday Sep 4,W
Tuesday Sep 17,W
Wednesday Sep 18,L
Thursday Sep 19,W
Friday Sep 20,L
Saturday Sep 21,W
Sunday Sep 22,W
