Date,W/L
Friday Apr 8,W
Saturday Apr 9,W
Sunday Apr 10,L
Monday Apr 11,L
Tuesday Apr 12,W
Wednesday Apr 13,L
Thursday Apr 14,W
Friday Apr 22,W
Saturday Apr 23,W
Sunday Apr 24,W
Tuesday Apr 26,W
Wednesday Apr 27,W
Thursday Apr 28,W
Sunday May 8,W
Sunday May 8,L
Monday May 9,W
Tuesday May 10,W
Wednesday May 11,W
Saturday May 21,W
Sunday May 22,L
Sunday May 22,L
Monday May 23,L
Tuesday May 24,W
Wednesday May 25,W
Tuesday May 31,W
Thursday Jun 2,W
Thursday Jun 2,W
Friday Jun 3,W
Saturday Jun 4,W
Sunday Jun 5,W
Friday Jun 10,W
Saturday Jun 11,W
Sunday Jun 12,W
Tuesday Jun 14,W
Wednesday Jun 15,W
Thursday Jun 16,W
Thursday Jun 23,W
Friday Jun 24,L
Saturday Jun 25,L
Sunday Jun 26,W
Monday Jun 27,W
Tuesday Jun 28,W
Wednesday Jun 29,W
Tuesday Jul 12,L
Wednesday Jul 13,W
Thursday Jul 14,L
Friday Jul 15,L
Saturday Jul 16,W
Sunday Jul 17,W
Thursday Jul 28,W
Friday Jul 29,W
Saturday Jul 30,W
Sunday Jul 31,L
Monday Aug 1,W
Tuesday Aug 2,L
Wednesday Aug 3,L
Monday Aug 15,L
Tuesday Aug 16,L
Wednesday Aug 17,W
Thursday Aug 18,L
Friday Aug 19,L
Saturday Aug 20,L
Sunday Aug 21,W
Monday Aug 22,W
Tuesday Aug 23,W
Monday Sep 5,W
Wednesday Sep 7,W
Wednesday Sep 7,W
Thursday Sep 8,L
Friday Sep 9,L
Saturday Sep 10,W
Sunday Sep 11,W
Tuesday Sep 20,W
Wednesday Sep 21,W
Thursday Sep 22,W
Friday Sep 23,W
Saturday Sep 24,W
Sunday Sep 25,W
Friday Sep 30,L
Saturday Oct 1,W
Sunday Oct 2,L
