Order,PathIDs,Weight_of_path,Quarter,Route
3,189.0,2317057.2299999995,2020-Q3,Bay_Ridge_to_Manhattan_Beach
4,61.0,2317057.2299999995,2020-Q3,Bay_Ridge_to_Manhattan_Beach
5,35.0,2317057.2299999995,2020-Q3,Bay_Ridge_to_Manhattan_Beach
6,76.0,2317057.2299999995,2020-Q3,Bay_Ridge_to_Manhattan_Beach
7,72.0,2317057.2299999995,2020-Q3,Bay_Ridge_to_Manhattan_Beach
8,39.0,2317057.2299999995,2020-Q3,Bay_Ridge_to_Manhattan_Beach
9,155.0,2317057.2299999995,2020-Q3,Bay_Ridge_to_Manhattan_Beach
10,154.0,2317057.2299999995,2020-Q3,Bay_Ridge_to_Manhattan_Beach
11,150.0,2317057.2299999995,2020-Q3,Bay_Ridge_to_Manhattan_Beach
0,14.0,2221066.06,2020-Q4,Bay_Ridge_to_Manhattan_Beach
1,228.0,2221066.06,2020-Q4,Bay_Ridge_to_Manhattan_Beach
2,181.0,2221066.06,2020-Q4,Bay_Ridge_to_Manhattan_Beach
3,189.0,2221066.06,2020-Q4,Bay_Ridge_to_Manhattan_Beach
4,61.0,2221066.06,2020-Q4,Bay_Ridge_to_Manhattan_Beach
5,35.0,2221066.06,2020-Q4,Bay_Ridge_to_Manhattan_Beach
6,76.0,2221066.06,2020-Q4,Bay_Ridge_to_Manhattan_Beach
7,72.0,2221066.06,2020-Q4,Bay_Ridge_to_Manhattan_Beach
8,39.0,2221066.06,2020-Q4,Bay_Ridge_to_Manhattan_Beach
9,155.0,2221066.06,2020-Q4,Bay_Ridge_to_Manhattan_Beach
10,154.0,2221066.06,2020-Q4,Bay_Ridge_to_Manhattan_Beach
11,150.0,2221066.06,2020-Q4,Bay_Ridge_to_Manhattan_Beach
0,14.0,2520188.71,2021-Q1,Bay_Ridge_to_Manhattan_Beach
1,228.0,2520188.71,2021-Q1,Bay_Ridge_to_Manhattan_Beach
2,181.0,2520188.71,2021-Q1,Bay_Ridge_to_Manhattan_Beach
3,189.0,2520188.71,2021-Q1,Bay_Ridge_to_Manhattan_Beach
4,61.0,2520188.71,2021-Q1,Bay_Ridge_to_Manhattan_Beach
5,35.0,2520188.71,2021-Q1,Bay_Ridge_to_Manhattan_Beach
6,76.0,2520188.71,2021-Q1,Bay_Ridge_to_Manhattan_Beach
7,72.0,2520188.71,2021-Q1,Bay_Ridge_to_Manhattan_Beach
8,39.0,2520188.71,2021-Q1,Bay_Ridge_to_Manhattan_Beach
9,155.0,2520188.71,2021-Q1,Bay_Ridge_to_Manhattan_Beach
10,154.0,2520188.71,2021-Q1,Bay_Ridge_to_Manhattan_Beach
11,150.0,2520188.71,2021-Q1,Bay_Ridge_to_Manhattan_Beach
0,14.0,2868985.3800000004,2021-Q2,Bay_Ridge_to_Manhattan_Beach
1,228.0,2868985.3800000004,2021-Q2,Bay_Ridge_to_Manhattan_Beach
2,181.0,2868985.3800000004,2021-Q2,Bay_Ridge_to_Manhattan_Beach
3,189.0,2868985.3800000004,2021-Q2,Bay_Ridge_to_Manhattan_Beach
4,61.0,2868985.3800000004,2021-Q2,Bay_Ridge_to_Manhattan_Beach
5,35.0,2868985.3800000004,2021-Q2,Bay_Ridge_to_Manhattan_Beach
6,76.0,2868985.3800000004,2021-Q2,Bay_Ridge_to_Manhattan_Beach
7,72.0,2868985.3800000004,2021-Q2,Bay_Ridge_to_Manhattan_Beach
8,39.0,2868985.3800000004,2021-Q2,Bay_Ridge_to_Manhattan_Beach
9,155.0,2868985.3800000004,2021-Q2,Bay_Ridge_to_Manhattan_Beach
10,154.0,2868985.3800000004,2021-Q2,Bay_Ridge_to_Manhattan_Beach
11,150.0,2868985.3800000004,2021-Q2,Bay_Ridge_to_Manhattan_Beach
0,14.0,2671201.76,2021-Q3,Bay_Ridge_to_Manhattan_Beach
1,228.0,2671201.76,2021-Q3,Bay_Ridge_to_Manhattan_Beach
2,181.0,2671201.76,2021-Q3,Bay_Ridge_to_Manhattan_Beach
3,189.0,2671201.76,2021-Q3,Bay_Ridge_to_Manhattan_Beach
4,61.0,2671201.76,2021-Q3,Bay_Ridge_to_Manhattan_Beach
5,35.0,2671201.76,2021-Q3,Bay_Ridge_to_Manhattan_Beach
6,76.0,2671201.76,2021-Q3,Bay_Ridge_to_Manhattan_Beach
7,72.0,2671201.76,2021-Q3,Bay_Ridge_to_Manhattan_Beach
8,39.0,2671201.76,2021-Q3,Bay_Ridge_to_Manhattan_Beach
